Prabhag,Sambhag,Bhag,Anchal,Sankul,Sanch Code,Sanch,Current,Reopen,Total,Support by,A/c Type,Remarks
,,,,,,,,,,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Doomdooma,BHNE0111,Talap,14,14,28,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Doomdooma,BHNE0112,Doomdooma,16,12,28,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Doomdooma,BHNE0113,Kakopathar,19,8,27,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Tinsukia,BHNE0121,Makum,8,16,24,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Tinsukia,BHNE0122,Tinsukia,7,20,27,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Tinsukia,BHNE0123,Bordubi,11,15,26,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Margherita,BHNE0131,Digboi,9,19,28,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Margherita,BHNE0132,Margherita,6,24,30,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Margherita,BHNE0133,Lekhapani,20,6,26,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Sadiya,BHNE0141,Gomtibil,25,0,25,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Sadiya,BHNE0142,Chapakhowa,19,6,25,,,
P1,N.Purvottar,Uppar Assam-01,Tinsukia,Sadiya,BHNE0143,Sunpura,20,5,25,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Chabua,BHNE0811,Chabua,12,13,25,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Chabua,BHNE0812,Dikom,22,8,30,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Chabua,BHNE0813,Balijan,17,13,30,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Chabua,BHNE0814,Tengakhat,15,14,29,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Dibrugarh,BHNE0821,Dibrugarh,19,3,22,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Dibrugarh,BHNE0822,Borboruah,18,12,30,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Dibrugarh,BHNE0823,Khowang,19,11,30,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Naharkatia,BHNE0831,Tingkhong,13,14,27,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Naharkatia,BHNE0832,Naharkatia,8,22,30,,,
P1,N.Purvottar,Uppar Assam-01,Dibrugarh,Naharkatia,BHNE0833,Namrup,14,15,29,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Silapathar,BHNE1411,Sissiborgaon,22,0,22,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Silapathar,BHNE1412,Silapathar,25,1,26,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Silapathar,BHNE1413,Dimow,29,0,29,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Silapathar,BHNE1414,Sisi Tangani,27,0,27,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Jonai,BHNE1421,Jonai,24,0,24,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Jonai,BHNE1422,Leimekuri,29,0,29,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Jonai,BHNE1423,Simenchpori,27,0,27,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Dhemaji,BHNE1431,Dhemaji,26,0,26,,,
P1,N.Purvottar,Uppar Assam-01,Dhemaji,Dhemaji,BHNE1432,Machkhowa,28,0,28,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Boginodi,BHNE2723,Narayanpur,15,15,30,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Laluk,BHNE2731,Nowboisa,30,0,30,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Laluk,BHNE2732,Dalahat,16,9,25,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Panigaon,BHNE2713,Lilabari(Luit Kaboli),16,10,26,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Panigaon,BHNE2712,Harmoti(Khoga),9,15,24,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Panigaon,BHNE2711,Panigaon,27,2,29,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Boginodi,BHNE2722,Boginadi,18,10,28,,,
P1,N.Purvottar,Uppar Assam-01,Lakhimpur,Boginodi,BHNE2721,Kambong,22,8,30,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Moran,BHNE0611,Moran,19,10,29,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Moran,BHNE0612,Demow,28,2,30,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Moran,BHNE0613,Sepon,25,4,29,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Charaideo,BHNE0631,Sapekhati,22,8,30,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Charaideo,BHNE0632,Sonari,14,16,30,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Charaideo,BHNE0633,Mathurapur,16,13,29,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Nazira,BHNE0641,Santak,22,8,30,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Nazira,BHNE0642,Amguri,23,7,30,,,
P1,N.Purvottar,Uppar Assam-02,Sivasagar,Nazira,BHNE0644,Namti,29,1,30,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Mariani,BHNE1611,Titabar,30,0,30,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Mariani,BHNE1612,Mariani,28,0,28,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Mariani,BHNE1613,Nokachari,29,0,29,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Mariani,BHNE1614,Cinamara,27,0,27,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Jorhat,BHNE1622,Roroya,26,3,29,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Jorhat,BHNE1621,Dekorgora,30,0,30,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Teok,BHNE1641,Teok,25,0,25,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Teok,BHNE1642,Kakajan,25,2,27,,,
P1,N.Purvottar,Uppar Assam-02,Jorhat,Teok,BHNE1643,Hansora,24,1,25,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Majuli,BHNE2011,Nayabazer,22,0,22,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Majuli,BHNE2012,Gormurh,24,0,24,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Majuli,BHNE2013,Balichapori,23,0,23,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Uttar Kamalabari,BHNE2021,Dakhinpath,26,0,26,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Uttar Kamalabari,BHNE2022,Bhogpur,25,0,25,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Uttar Kamalabari,BHNE2023,Awaniati,24,1,25,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Dhakuakhana,BHNE2031,Bokulguri,24,0,24,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Dhakuakhana,BHNE2032,Bashudev,26,0,26,,,
P1,N.Purvottar,Uppar Assam-02,Majuli,Dhakuakhana,BHNE2033,Dangdhora,28,0,28,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Golaghat,BHNE1011,Morongi,16,4,20,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Golaghat,BHNE1012,Merapani,20,1,21,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Dhansiri,BHNE1024,Koroighat,3,17,20,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Dhansri,BHNE1021,Barpathar,13,7,20,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Dhansri,BHNE1022,Sarupathar,17,3,20,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Dhansri,BHNE1023,Dergaon,20,0,20,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Bokakhat,BHNE1031,Numoligarh,20,0,20,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Bokakhat,BHNE1032,Bokakhat,18,2,20,,,
P1,N.Purvottar,Uppar Assam-02,Golaghat,Bokakhat,BHNE1033,Uriamghat,20,0,20,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2111,Yingkiong,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2112,Tuting,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2113,Mariyang,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2114,Geku,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2115,Pagi Bote,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2116,Kaying,14,0,14,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2117,Rumgong,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,Upper Siyang,BHNE2118,Boleng,14,1,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,East Siang,BHNE2121,Kamba,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,East Siang,BHNE2122,Aalo,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,East Siang,BHNE2123,Pasighat,15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-1,East Siang,BHNE2124,Ruksin(Mechka),15,0,15,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-2,Changlang,BHNE2611,Mahadevpur,9,1,10,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-2,Changlang,BHNE2612,Khawji,8,3,11,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-2,Changlang,BHNE2613,Bordumsa,8,5,13,,,
P1,N.Purvottar,Arunachal Pradesh,East Arunachal-2,Changlang,BHNE2614,Diyun,15,0,15,,,
